"empleo_fl","sexo","tipo_edu","region","egreso","hab_dig","hab_ciud","hab_num","hab_verb"
1,0,0,"Antofagasta",2022,650,662,498,409
1,0,0,"Biobio",2022,736,736,761,726
1,0,0,"Maule",2023,558,559,705,726
0,0,0,"Coquimbo",2023,400,400,0,0
1,0,1,"Los Lagos",2023,801,866,600,686
0,0,0,"Maule",2023,613,617,642,540
0,0,0,"Valparaiso",2023,0,0,0,0
0,1,0,"Metropolitana",2023,708,726,696,576
0,0,0,"Biobio",2019,870,884,0,0
1,1,0,"Metropolitana",2023,886,915,696,607
1,1,0,"Antofagasta",2022,708,711,450,573
1,1,0,"Metropolitana",2021,779,802,785,815
1,0,0,"Biobio",2023,851,868,563,524
1,1,1,"Tarapaca",2023,672,704,413,491
0,1,0,"Maule",2023,951,963,827,742
1,0,0,"Metropolitana",2022,536,536,563,689
0,1,1,"Maule",2023,623,623,563,489
0,0,0,"Araucania",2023,488,488,549,394
1,1,0,"Metropolitana",2022,879,904,576,788
0,1,0,"Biobio",2023,628,628,585,549
1,1,0,"Metropolitana",2021,680,699,505,759
1,0,0,"Los Lagos",2022,488,502,549,584
0,0,0,"Metropolitana",2023,671,671,607,423
1,0,0,"Araucania",2021,671,670,642,567
0,1,0,"Nuble",2023,879,897,535,651
1,1,0,"Los Lagos",2023,793,828,498,759
0,0,1,"Los Lagos",2023,418,418,0,0
1,0,0,"Antofagasta",2011,742,767,1000,878
0,0,0,"Valparaiso",2023,751,754,478,600
0,1,0,"Valparaiso",2021,409,414,523,584
1,0,0,"Maule",2022,542,542,731,573
0,0,1,"Biobio",2023,560,560,436,385
1,1,1,"Metropolitana",2023,695,733,607,656
1,0,0,"Los Lagos",2023,771,776,616,591
1,1,1,"Araucania",2023,601,602,498,519
1,1,0,"Metropolitana",2023,879,883,990,874
0,0,0,"Metropolitana",2023,685,685,549,611
1,1,0,"Antofagasta",2023,722,734,628,607
1,1,0,"Valparaiso",2023,774,789,642,563
0,1,0,"Biobio",2023,542,542,498,476
0,0,1,"Coquimbo",2023,560,560,0,0
1,1,0,"Valparaiso",2023,572,572,513,473
1,1,0,"Metropolitana",2023,951,990,844,784
0,0,0,"Valparaiso",2023,622,622,616,696
0,0,0,"Valparaiso",2017,510,510,0,0
1,0,0,"Metropolitana",2023,907,982,746,625
1,0,0,"Maule",2023,643,654,717,738
0,1,0,"Metropolitana",2023,613,613,576,576
1,1,0,"Coquimbo",2023,937,951,576,636
1,1,1,"Metropolitana",2020,752,758,917,686
0,1,0,"Metropolitana",2023,937,952,746,738
0,0,0,"Araucania",2022,793,808,505,770
0,0,1,"Arica",2023,554,554,450,473
1,0,0,"OHiggins",2022,488,488,489,651
1,0,0,"Metropolitana",2023,495,495,576,484
1,1,1,"Magallanes",2023,923,948,705,721
1,1,0,"Metropolitana",2022,785,804,696,625
0,1,0,"Valparaiso",2023,793,796,549,438
0,1,1,"Araucania",2023,491,491,505,378
0,1,0,"Biobio",2023,613,613,585,489
0,0,0,"Valparaiso",2023,685,685,498,636
0,1,0,"Metropolitana",2023,823,842,465,573
0,1,0,"Metropolitana",2023,757,780,0,0
0,1,0,"Valparaiso",2018,680,680,0,0
1,0,0,"Metropolitana",2019,580,580,657,721
1,1,1,"Los Lagos",2020,757,804,513,770
1,0,0,"Metropolitana",2022,865,874,0,0
0,0,1,"Metropolitana",2023,652,661,498,354
1,1,0,"Antofagasta",2022,814,836,513,484
0,1,0,"OHiggins",2023,680,680,489,481
0,1,0,"Nuble",2023,664,664,549,549
0,0,1,"Biobio",2020,396,407,0,0
1,1,0,"Metropolitana",2023,907,934,773,874
0,0,0,"Metropolitana",2023,594,607,0,0
1,1,1,"Araucania",2017,630,630,489,524
0,0,1,"Metropolitana",2023,601,601,593,534
0,1,0,"Metropolitana",2023,727,748,535,686
0,0,1,"Metropolitana",2023,545,545,575,549
0,0,0,"Valparaiso",2023,586,586,705,799
1,1,0,"Metropolitana",2023,713,725,498,519
1,1,0,"Valparaiso",2023,893,905,688,689
1,1,0,"Valparaiso",2023,657,657,489,589
0,1,0,"Araucania",2019,551,551,628,641
0,1,0,"Metropolitana",2023,479,479,436,354
1,1,0,"Los Lagos",2023,937,979,576,611
0,1,1,"Biobio",2023,851,861,593,620
0,1,0,"Los Lagos",2023,725,768,0,0
0,0,1,"Araucania",2022,353,353,0,0
1,1,0,"Araucania",2023,771,772,535,397
0,1,0,"Metropolitana",2022,886,923,628,774
0,1,0,"Metropolitana",2023,415,415,535,481
1,0,0,"Metropolitana",2023,879,888,862,742
0,0,0,"Tarapaca",2023,479,479,523,463
1,0,1,"Tarapaca",2023,914,949,688,607
1,1,0,"Metropolitana",2023,814,863,879,788
1,1,1,"OHiggins",2021,709,1000,523,669
0,0,0,"Metropolitana",2023,680,680,478,463
1,1,0,"Metropolitana",2022,779,793,696,788
0,0,0,"Metropolitana",2023,914,938,811,721
1,1,0,"Biobio",2023,823,884,657,696
1,0,0,"Tarapaca",2023,708,730,669,641
0,1,0,"Los Lagos",2023,865,878,513,651
0,0,0,"Los Lagos",2023,823,848,563,625
0,0,0,"Metropolitana",2023,675,675,657,707
0,0,0,"Metropolitana",2022,736,742,593,519
0,0,0,"Biobio",2023,914,939,811,774
0,0,0,"Valparaiso",2023,979,987,939,641
0,0,1,"Metropolitana",2022,695,718,0,0
1,1,0,"Metropolitana",2023,814,816,593,625
1,1,0,"Los Rios",2023,808,815,585,466
0,0,0,"Metropolitana",2023,558,558,465,576
1,1,0,"Valparaiso",2023,837,896,535,696
1,1,0,"Atacama",2022,572,572,585,611
1,1,0,"Biobio",2023,793,800,505,549
0,0,1,"Magallanes",2023,695,701,0,0
1,1,0,"OHiggins",2022,742,742,563,582
0,1,1,"Metropolitana",2023,595,595,424,321
1,1,0,"Metropolitana",2023,694,700,413,651
1,1,0,"Biobio",2023,994,1000,717,742
1,0,0,"Metropolitana",2023,742,748,628,576
0,0,1,"OHiggins",2023,709,744,642,540
0,0,1,"Coquimbo",2023,427,427,0,0
0,0,1,"Metropolitana",2023,560,560,0,0
1,0,0,"Metropolitana",2022,694,727,628,641
0,0,1,"Nuble",2023,700,705,0,0
0,0,0,"Biobio",2023,536,536,478,394
0,0,1,"Metropolitana",2023,715,946,424,489
0,1,1,"Metropolitana",2021,601,605,599,611
1,1,1,"Metropolitana",2023,886,931,505,656
0,0,0,"Araucania",2023,699,699,523,584
0,1,0,"Metropolitana",2023,708,763,450,584
1,1,1,"Antofagasta",2023,937,943,563,576
0,0,0,"OHiggins",2023,713,728,0,0
1,0,0,"Metropolitana",2023,965,984,861,784
1,0,0,"Los Rios",2023,613,613,478,519
1,1,0,"Nuble",2021,757,771,607,576
1,0,0,"Maule",2023,622,622,576,519
1,0,0,"Arica",2023,680,680,465,641
1,0,0,"Araucania",2022,558,558,563,506
1,1,0,"Metropolitana",2022,851,887,811,774
0,1,1,"Valparaiso",2023,771,780,478,651
0,0,0,"Atacama",2023,793,796,669,554
1,0,1,"Biobio",2020,465,465,628,589
1,1,0,"Los Lagos",2023,979,1000,773,878
0,0,0,"Metropolitana",2023,951,966,939,754
0,1,0,"Coquimbo",2023,488,488,0,0
1,0,0,"Coquimbo",2023,757,762,505,656
0,0,0,"Araucania",2023,722,722,585,454
0,0,0,"Tarapaca",2023,823,838,642,496
0,1,1,"Araucania",2023,738,764,549,563
0,1,0,"Metropolitana",2023,542,542,498,573
0,0,1,"Metropolitana",2020,379,379,0,0
0,0,0,"Los Rios",2023,599,599,465,388
0,1,0,"Coquimbo",2023,937,942,844,686
0,0,1,"Metropolitana",2023,766,836,478,534
1,0,0,"Los Lagos",2023,713,731,523,476
1,1,0,"Araucania",2017,622,622,642,815
0,0,0,"Araucania",2023,664,666,585,899
0,1,0,"Metropolitana",2023,751,751,450,591
1,0,0,"Metropolitana",2023,456,456,797,676
1,0,0,"Maule",2023,742,742,897,799
1,1,1,"OHiggins",2023,923,1000,465,625
1,0,0,"Metropolitana",2022,536,536,513,600
1,1,0,"Los Lagos",2023,510,510,535,506
0,1,0,"Biobio",2023,765,768,657,707
1,1,0,"Metropolitana",2023,900,989,642,625
1,1,0,"Valparaiso",2023,965,968,717,721
0,0,1,"Los Lagos",2023,459,459,0,0
1,1,1,"Los Lagos",2023,880,933,478,524
1,1,1,"Metropolitana",2022,529,529,489,669
1,1,0,"Araucania",2023,870,931,549,607
0,0,1,"Coquimbo",2023,385,385,0,0
1,1,0,"Coquimbo",2022,856,887,0,0
0,1,0,"Metropolitana",2023,742,782,785,799
0,0,0,"Metropolitana",2022,799,800,0,0
0,1,0,"Los Lagos",2023,685,685,599,563
1,0,0,"Valparaiso",2023,970,1000,939,922
1,1,0,"Los Lagos",2023,985,1000,963,738
1,0,0,"Metropolitana",2023,937,956,990,738
0,0,0,"Metropolitana",2023,577,588,563,473
0,0,1,"Metropolitana",2023,738,760,576,625
1,1,0,"Metropolitana",2022,870,920,642,656
0,0,0,"Metropolitana",2015,510,510,717,665
0,1,0,"Valparaiso",2023,594,594,523,534
0,1,1,"Nuble",2023,771,790,563,589
0,0,0,"Valparaiso",2023,505,505,0,0
1,0,0,"Metropolitana",2023,551,551,607,651
0,0,1,"Antofagasta",2023,738,766,465,549
1,0,0,"Valparaiso",2023,671,694,746,607
1,1,0,"Metropolitana",2023,799,799,797,774
0,1,0,"Metropolitana",2023,837,851,498,354
0,1,0,"Valparaiso",2023,994,1000,963,833
0,1,1,"Metropolitana",2023,729,735,505,476
0,0,1,"Coquimbo",2023,700,745,549,582
0,0,0,"Biobio",2023,685,685,563,576
0,0,0,"Metropolitana",2023,599,599,0,589
0,1,0,"Metropolitana",2023,594,594,465,584
1,1,0,"Metropolitana",2022,851,869,705,0
0,0,1,"Metropolitana",2023,385,386,0,0
0,0,0,"Valparaiso",2023,722,731,346,409
1,0,0,"Valparaiso",2023,765,765,861,922
1,1,0,"Arica",2023,856,887,576,591
1,0,0,"OHiggins",2023,879,917,939,815
1,1,0,"Metropolitana",2022,814,841,773,738
0,1,1,"Metropolitana",2023,529,530,0,0
1,0,0,"Metropolitana",2023,970,1000,989,837
1,1,0,"Tarapaca",2023,828,831,585,591
0,1,0,"Nuble",2023,722,725,0,0
1,1,0,"Valparaiso",2023,722,722,600,696
1,0,0,"Coquimbo",2023,685,685,616,597
1,1,0,"Metropolitana",2023,823,823,680,669
0,1,0,"Biobio",2021,580,580,489,540
0,1,0,"Metropolitana",2023,900,907,963,679
1,1,1,"Biobio",2022,815,837,593,742
1,1,0,"Metropolitana",2023,519,519,465,524
0,1,0,"Maule",2023,893,929,535,669
1,1,1,"Metropolitana",2023,843,867,513,584
0,1,0,"Valparaiso",2023,823,829,563,726
0,1,1,"Los Rios",2023,658,662,680,540
0,0,0,"Coquimbo",2018,441,441,0,0
1,1,0,"Arica",2023,928,946,450,591
1,0,0,"Biobio",2023,799,830,600,481
0,0,0,"Metropolitana",2021,599,599,489,625
0,0,0,"Valparaiso",2023,547,552,0,0
0,0,1,"Los Lagos",2023,554,554,0,0
0,0,0,"Coquimbo",2023,727,727,616,696
1,0,0,"OHiggins",2023,628,628,513,449
1,1,0,"Metropolitana",2023,628,628,688,738
0,1,1,"Antofagasta",2023,609,609,0,0
0,1,0,"Biobio",2023,558,558,424,481
1,1,0,"Metropolitana",2022,765,765,593,591
0,1,0,"Biobio",2023,643,643,0,0
1,0,1,"Metropolitana",2023,616,636,593,338
1,0,0,"Antofagasta",2022,456,456,563,0
0,1,0,"Biobio",2023,526,526,0,0
1,1,0,"Araucania",2023,942,975,679,711
0,1,1,"Arica",2023,582,582,0,0
1,1,0,"Metropolitana",2018,664,665,657,597
0,0,0,"Arica",2022,814,825,513,0
0,0,1,"Metropolitana",2023,418,418,535,573
1,0,0,"Araucania",2019,542,544,549,689
1,0,0,"Valparaiso",2023,994,997,917,833
0,0,1,"Antofagasta",2023,601,654,0,0
1,0,0,"Metropolitana",2023,727,728,616,699
1,1,0,"Valparaiso",2022,900,902,669,636
0,1,1,"Los Rios",2023,729,789,513,463
0,1,0,"Metropolitana",2023,808,813,450,742
1,0,1,"Metropolitana",2023,752,771,593,707
1,0,0,"Metropolitana",2022,567,567,523,665
0,0,0,"Metropolitana",2023,699,700,600,576
0,1,0,"Araucania",2022,572,572,563,686
0,0,0,"Metropolitana",2023,367,367,0,0
1,0,0,"Araucania",2020,828,896,575,641
0,1,0,"Metropolitana",2023,613,635,436,597
0,1,0,"Metropolitana",2023,828,864,0,0
0,0,0,"Araucania",2023,594,614,575,689
0,1,0,"Metropolitana",2022,865,903,642,600
0,0,0,"Metropolitana",2023,495,495,549,607
0,1,1,"Metropolitana",2022,560,561,585,484
1,1,0,"Valparaiso",2023,900,902,679,641
0,1,0,"Valparaiso",2023,599,599,489,449
0,1,0,"Araucania",2023,727,738,0,0
1,0,0,"Metropolitana",2023,751,760,844,573
